model,accuracy,precision,recall,f1,roc_auc
XGBoost,0.7977288857345636,0.6518771331058021,0.5106951871657754,0.5727136431784108,0.8485468495698675
RF,0.7998580553584103,0.6608391608391608,0.5053475935828877,0.5727272727272728,0.8440104368493115
LR,0.7991483321504613,0.6531986531986532,0.5187165775401069,0.5782414307004471,0.8437675992663205
AdaBoost,0.78708303761533,0.6567796610169492,0.4144385026737968,0.5081967213114754,0.8415316851378232
SVM,0.7842441447835344,0.6422764227642277,0.42245989304812837,0.5096774193548387,0.8277984448061174
